,Biomass,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Nuclear,Nuclear,Other,Other,Solar,Solar,Waste,Waste,Wind Offshore,Wind Offshore,Wind Onshore,Wind Onshore
,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption
2021-01-01 01:00:00+01:00,17.0,0.0,4186.0,57.0,2119.0,34.0,0.0,0.0,484.0,0.0,1508.0,823.0,0.0,0.0,419.0,0.0,188.0,0.0,139.0,2.0
2021-01-01 01:15:00+01:00,17.0,0.0,4067.0,55.0,2144.0,33.0,0.0,0.0,484.0,0.0,1397.0,880.0,0.0,0.0,419.0,0.0,184.0,0.0,141.0,2.0
2021-01-01 01:30:00+01:00,16.0,0.0,3881.0,53.0,2143.0,33.0,0.0,0.0,484.0,0.0,1328.0,890.0,0.0,0.0,409.0,0.0,188.0,0.0,145.0,2.0
2021-01-01 01:45:00+01:00,17.0,0.0,3704.0,51.0,2084.0,33.0,0.0,0.0,485.0,0.0,1155.0,904.0,0.0,0.0,417.0,0.0,202.0,0.0,143.0,2.0
2021-01-01 02:00:00+01:00,16.0,0.0,3435.0,58.0,1946.0,33.0,0.0,0.0,484.0,0.0,983.0,917.0,0.0,0.0,418.0,0.0,213.0,0.0,143.0,1.0
2021-01-01 02:15:00+01:00,17.0,0.0,3361.0,52.0,1860.0,33.0,0.0,0.0,484.0,0.0,946.0,940.0,0.0,0.0,431.0,0.0,229.0,0.0,149.0,0.0
2021-01-01 02:30:00+01:00,17.0,0.0,3277.0,49.0,1830.0,33.0,0.0,0.0,484.0,0.0,934.0,949.0,0.0,0.0,434.0,0.0,207.0,0.0,163.0,1.0
2021-01-01 02:45:00+01:00,17.0,0.0,3080.0,52.0,1765.0,33.0,0.0,0.0,484.0,0.0,935.0,951.0,0.0,0.0,438.0,0.0,189.0,0.0,175.0,0.0
2021-01-01 03:00:00+01:00,17.0,0.0,2723.0,61.0,1627.0,33.0,0.0,0.0,484.0,0.0,924.0,976.0,0.0,0.0,441.0,0.0,186.0,0.0,183.0,0.0
