,Solar,Wind Onshore
2021-06-01 01:00:00+03:00,0.0,1008.0
2021-06-01 02:00:00+03:00,0.0,1049.0
2021-06-01 03:00:00+03:00,0.0,1104.0
2021-06-01 04:00:00+03:00,0.0,1157.0
2021-06-01 05:00:00+03:00,0.0,1006.0
2021-06-01 06:00:00+03:00,0.0,932.0
2021-06-01 07:00:00+03:00,279.0,696.0
2021-06-01 08:00:00+03:00,828.0,569.0
2021-06-01 09:00:00+03:00,1415.0,429.0
2021-06-01 10:00:00+03:00,1860.0,377.0
2021-06-01 11:00:00+03:00,2089.0,427.0
2021-06-01 12:00:00+03:00,2167.0,481.0
2021-06-01 13:00:00+03:00,2105.0,561.0
2021-06-01 14:00:00+03:00,1840.0,686.0
2021-06-01 15:00:00+03:00,1507.0,883.0
2021-06-01 16:00:00+03:00,1271.0,1190.0
2021-06-01 17:00:00+03:00,920.0,1306.0
2021-06-01 18:00:00+03:00,0.0,1288.0
2021-06-01 19:00:00+03:00,0.0,1245.0
2021-06-01 20:00:00+03:00,0.0,1333.0
2021-06-01 21:00:00+03:00,0.0,1318.0
2021-06-01 22:00:00+03:00,0.0,1068.0
2021-06-01 23:00:00+03:00,0.0,1026.0
2021-06-02 00:00:00+03:00,0.0,851.0
2021-06-02 01:00:00+03:00,0.0,682.0
2021-06-02 02:00:00+03:00,0.0,731.0
2021-06-02 03:00:00+03:00,0.0,732.0
2021-06-02 04:00:00+03:00,0.0,662.0
2021-06-02 05:00:00+03:00,0.0,664.0
2021-06-02 06:00:00+03:00,0.0,676.0
2021-06-02 07:00:00+03:00,280.0,553.0
2021-06-02 08:00:00+03:00,830.0,470.0
2021-06-02 09:00:00+03:00,1398.0,461.0
2021-06-02 10:00:00+03:00,1783.0,402.0
2021-06-02 11:00:00+03:00,2045.0,305.0
2021-06-02 12:00:00+03:00,2108.0,269.0
2021-06-02 13:00:00+03:00,2100.0,221.0
2021-06-02 14:00:00+03:00,2050.0,226.0
2021-06-02 15:00:00+03:00,1864.0,308.0
2021-06-02 16:00:00+03:00,1538.0,359.0
2021-06-02 17:00:00+03:00,1114.0,315.0
2021-06-02 18:00:00+03:00,0.0,272.0
2021-06-02 19:00:00+03:00,0.0,246.0
2021-06-02 20:00:00+03:00,0.0,173.0
2021-06-02 21:00:00+03:00,0.0,167.0
2021-06-02 22:00:00+03:00,0.0,167.0
2021-06-02 23:00:00+03:00,0.0,150.0
2021-06-03 00:00:00+03:00,0.0,111.0
2021-06-03 01:00:00+03:00,0.0,78.0
2021-06-03 02:00:00+03:00,0.0,67.0
2021-06-03 03:00:00+03:00,0.0,65.0
2021-06-03 04:00:00+03:00,0.0,76.0
2021-06-03 05:00:00+03:00,0.0,100.0
2021-06-03 06:00:00+03:00,0.0,90.0
2021-06-03 07:00:00+03:00,153.0,92.0
2021-06-03 08:00:00+03:00,419.0,93.0
2021-06-03 09:00:00+03:00,695.0,123.0
2021-06-03 10:00:00+03:00,892.0,142.0
2021-06-03 11:00:00+03:00,1023.0,128.0
2021-06-03 12:00:00+03:00,1090.0,154.0
2021-06-03 13:00:00+03:00,1069.0,176.0
2021-06-03 14:00:00+03:00,1040.0,179.0
2021-06-03 15:00:00+03:00,951.0,216.0
2021-06-03 16:00:00+03:00,825.0,237.0
2021-06-03 17:00:00+03:00,603.0,249.0
2021-06-03 18:00:00+03:00,0.0,230.0
2021-06-03 19:00:00+03:00,0.0,228.0
2021-06-03 20:00:00+03:00,0.0,308.0
2021-06-03 21:00:00+03:00,0.0,373.0
2021-06-03 22:00:00+03:00,0.0,327.0
2021-06-03 23:00:00+03:00,0.0,252.0
2021-06-04 00:00:00+03:00,0.0,259.0
